
🚀 Запуск Эксперимента 4: Dynamic Leaky Log Decay...
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:648: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=0, inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:650: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=feat[field].mean(), inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:2136: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_numpy.cpp:209.)
  new_data[k] = torch.LongTensor(value)
C:\research\.venv\Lib\site-packages\recbole\model\general_recommender\lightgcn.py:124: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:656.)
  SparseL = torch.sparse.FloatTensor(i, data, torch.Size(L.shape))
[AdaptiveLightGCN] ✅ Loaded 150 semantic centroids.
[AdaptiveLightGCN] 🔗 Успешно смапплено 5002 фильмов с кластерами.

[DynamicLeakyLog] 🌉 Применено Динамическое Дырявое Затухание!
   - Динамический порог (85%): 115.0 оценок
   - Min Weight (Floor): 0.05 (сохраняем мост для 715 хитов)
   - Tail (<=5 оценок): 2385 фильмов (вес тяготеет к 1.0)
   [Epoch 0] batch 50/172 | Loss: 0.6290 (BPR: 0.6086, Sem: 0.0205)
   [Epoch 0] batch 100/172 | Loss: 0.3983 (BPR: 0.3766, Sem: 0.0217)
   [Epoch 0] batch 150/172 | Loss: 0.2808 (BPR: 0.2591, Sem: 0.0217)
🏁 [Epoch 0] Завершена! Суммарный лосс: 82.2563 (BPR: 78.6975, Sem: 3.5587)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1358), ('recall@50', 0.3112), ('ndcg@10', 0.1015), ('ndcg@50', 0.1492)])
   [Epoch 1] batch 50/172 | Loss: 0.2473 (BPR: 0.2257, Sem: 0.0217)
   [Epoch 1] batch 100/172 | Loss: 0.2400 (BPR: 0.2199, Sem: 0.0200)
   [Epoch 1] batch 150/172 | Loss: 0.2326 (BPR: 0.2120, Sem: 0.0206)
🏁 [Epoch 1] Завершена! Суммарный лосс: 40.4267 (BPR: 36.8662, Sem: 3.5605)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1364), ('recall@50', 0.3115), ('ndcg@10', 0.1019), ('ndcg@50', 0.1494)])
   [Epoch 2] batch 50/172 | Loss: 0.2352 (BPR: 0.2149, Sem: 0.0203)
   [Epoch 2] batch 100/172 | Loss: 0.2438 (BPR: 0.2232, Sem: 0.0206)
   [Epoch 2] batch 150/172 | Loss: 0.2148 (BPR: 0.1932, Sem: 0.0216)
🏁 [Epoch 2] Завершена! Суммарный лосс: 38.4582 (BPR: 34.8999, Sem: 3.5583)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1363), ('recall@50', 0.3115), ('ndcg@10', 0.1018), ('ndcg@50', 0.1492)])
   [Epoch 3] batch 50/172 | Loss: 0.2256 (BPR: 0.2042, Sem: 0.0215)
   [Epoch 3] batch 100/172 | Loss: 0.2241 (BPR: 0.2043, Sem: 0.0198)
   [Epoch 3] batch 150/172 | Loss: 0.2026 (BPR: 0.1820, Sem: 0.0206)
🏁 [Epoch 3] Завершена! Суммарный лосс: 37.6376 (BPR: 34.0812, Sem: 3.5564)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1364), ('recall@50', 0.3115), ('ndcg@10', 0.102), ('ndcg@50', 0.1494)])
   [Epoch 4] batch 50/172 | Loss: 0.2101 (BPR: 0.1902, Sem: 0.0199)
   [Epoch 4] batch 100/172 | Loss: 0.2310 (BPR: 0.2103, Sem: 0.0207)
   [Epoch 4] batch 150/172 | Loss: 0.2180 (BPR: 0.1974, Sem: 0.0206)
