
🚀 Запуск Эксперимента 4: Dynamic Leaky Log Decay...
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:648: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=0, inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:650: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=feat[field].mean(), inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:2136: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_numpy.cpp:209.)
  new_data[k] = torch.LongTensor(value)
C:\research\.venv\Lib\site-packages\recbole\model\general_recommender\lightgcn.py:124: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:656.)
  SparseL = torch.sparse.FloatTensor(i, data, torch.Size(L.shape))
[AdaptiveLightGCN] ✅ Loaded 150 semantic centroids.
[AdaptiveLightGCN] 🔗 Успешно смапплено 5002 фильмов с кластерами.

[DynamicLeakyLog] 🌉 Применено Динамическое Дырявое Затухание!
   - Динамический порог (85%): 115.0 оценок
   - Min Weight (Floor): 0.05 (сохраняем мост для 715 хитов)
   - Tail (<=5 оценок): 2385 фильмов (вес тяготеет к 1.0)
   [Epoch 0] batch 50/172 | Loss: 0.6519 (BPR: 0.6313, Sem: 0.0206)
   [Epoch 0] batch 100/172 | Loss: 0.4138 (BPR: 0.3920, Sem: 0.0217)
   [Epoch 0] batch 150/172 | Loss: 0.2841 (BPR: 0.2623, Sem: 0.0218)
🏁 [Epoch 0] Завершена! Суммарный лосс: 84.3048 (BPR: 80.7354, Sem: 3.5694)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1356), ('recall@50', 0.313), ('ndcg@10', 0.0998), ('ndcg@50', 0.148)])
   [Epoch 1] batch 50/172 | Loss: 0.2480 (BPR: 0.2260, Sem: 0.0220)
   [Epoch 1] batch 100/172 | Loss: 0.2410 (BPR: 0.2206, Sem: 0.0205)
   [Epoch 1] batch 150/172 | Loss: 0.2338 (BPR: 0.2126, Sem: 0.0212)
🏁 [Epoch 1] Завершена! Суммарный лосс: 40.5814 (BPR: 36.9561, Sem: 3.6253)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1366), ('recall@50', 0.3119), ('ndcg@10', 0.1018), ('ndcg@50', 0.1493)])
   [Epoch 2] batch 50/172 | Loss: 0.2358 (BPR: 0.2150, Sem: 0.0208)
   [Epoch 2] batch 100/172 | Loss: 0.2445 (BPR: 0.2234, Sem: 0.0211)
   [Epoch 2] batch 150/172 | Loss: 0.2152 (BPR: 0.1931, Sem: 0.0222)
🏁 [Epoch 2] Завершена! Суммарный лосс: 38.5819 (BPR: 34.9418, Sem: 3.6401)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1373), ('recall@50', 0.3116), ('ndcg@10', 0.1019), ('ndcg@50', 0.1491)])
   [Epoch 3] batch 50/172 | Loss: 0.2259 (BPR: 0.2040, Sem: 0.0220)
   [Epoch 3] batch 100/172 | Loss: 0.2248 (BPR: 0.2046, Sem: 0.0202)
   [Epoch 3] batch 150/172 | Loss: 0.2031 (BPR: 0.1820, Sem: 0.0211)
🏁 [Epoch 3] Завершена! Суммарный лосс: 37.7295 (BPR: 34.0879, Sem: 3.6416)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1366), ('recall@50', 0.3121), ('ndcg@10', 0.1023), ('ndcg@50', 0.1498)])
   [Epoch 4] batch 50/172 | Loss: 0.2104 (BPR: 0.1899, Sem: 0.0205)
   [Epoch 4] batch 100/172 | Loss: 0.2311 (BPR: 0.2098, Sem: 0.0213)
   [Epoch 4] batch 150/172 | Loss: 0.2181 (BPR: 0.1971, Sem: 0.0210)
