
🚀 Запуск Эксперимента 4: Dynamic Leaky Log Decay...
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:648: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=0, inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:650: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=feat[field].mean(), inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:2136: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_numpy.cpp:209.)
  new_data[k] = torch.LongTensor(value)
[Graph Rewiring] Строим семантические фантомные ребра. Находим близких Head-соседей для Tail-фильмов...
[Graph Rewiring] ✅ Успешно добавлено 16192 фантомных ребер (Item-Item) с весом 0.1.
[AdaptiveLightGCN] ✅ Loaded 150 semantic centroids.
[AdaptiveLightGCN] 🔗 Успешно смапплено 5002 фильмов с кластерами.
   [Epoch 0] batch 50/172 | Loss: 0.9415 (BPR: 0.5966, Sem: 0.3948)
   [Epoch 0] batch 100/172 | Loss: 0.7012 (BPR: 0.5810, Sem: 0.2381)
   [Epoch 0] batch 150/172 | Loss: 0.4823 (BPR: 0.5732, Sem: 0.1123)
🏁 [Epoch 0] Завершена! Суммарный лосс: 133.6778 (BPR: 102.7294, Sem: 48.9684)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.0118), ('recall@50', 0.119), ('ndcg@10', 0.0084), ('ndcg@50', 0.0388)])
   [Epoch 1] batch 50/172 | Loss: 0.3410 (BPR: 0.5376, Sem: 0.1108)

⚖️ АВТО-БАЛАНС: Вес BPR = 1.2642 | Вес Sem = 1.3018
   Сырые лоссы: BPR = 0.5368 | Sem = 0.1173
   [Epoch 1] batch 100/172 | Loss: 0.2752 (BPR: 0.5384, Sem: 0.1071)
   [Epoch 1] batch 150/172 | Loss: 0.1976 (BPR: 0.5084, Sem: 0.1218)
🏁 [Epoch 1] Завершена! Суммарный лосс: 53.8522 (BPR: 92.4937, Sem: 20.8664)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.0353), ('recall@50', 0.1383), ('ndcg@10', 0.019), ('ndcg@50', 0.0498)])
   [Epoch 2] batch 50/172 | Loss: 0.1420 (BPR: 0.5360, Sem: 0.1109)
   [Epoch 2] batch 100/172 | Loss: 0.1008 (BPR: 0.5038, Sem: 0.1468)
   [Epoch 2] batch 150/172 | Loss: 0.0101 (BPR: 0.4998, Sem: 0.1246)
🏁 [Epoch 2] Завершена! Суммарный лосс: 12.6213 (BPR: 87.0334, Sem: 20.2943)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.0496), ('recall@50', 0.151), ('ndcg@10', 0.0293), ('ndcg@50', 0.0591)])
   [Epoch 3] batch 50/172 | Loss: -0.0872 (BPR: 0.4865, Sem: 0.1200)
   [Epoch 3] batch 100/172 | Loss: -0.1784 (BPR: 0.4679, Sem: 0.1127)
   [Epoch 3] batch 150/172 | Loss: -0.2555 (BPR: 0.4399, Sem: 0.1212)
🏁 [Epoch 3] Завершена! Суммарный лосс: -28.6273 (BPR: 80.3109, Sem: 19.3692)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.0545), ('recall@50', 0.2251), ('ndcg@10', 0.0326), ('ndcg@50', 0.078)])
   [Epoch 4] batch 50/172 | Loss: -0.3310 (BPR: 0.4255, Sem: 0.1276)
   [Epoch 4] batch 100/172 | Loss: -0.3244 (BPR: 0.4243, Sem: 0.1494)
   [Epoch 4] batch 150/172 | Loss: -0.4494 (BPR: 0.4229, Sem: 0.1131)
🏁 [Epoch 4] Завершена! Суммарный лосс: -66.2119 (BPR: 73.1257, Sem: 20.0220)
