
🚀 Запуск Эксперимента 4: Dynamic Leaky Log Decay...
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:648: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=0, inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:650: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=feat[field].mean(), inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:2136: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_numpy.cpp:209.)
  new_data[k] = torch.LongTensor(value)
C:\research\.venv\Lib\site-packages\recbole\model\general_recommender\lightgcn.py:124: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:656.)
  SparseL = torch.sparse.FloatTensor(i, data, torch.Size(L.shape))
[AdaptiveLightGCN] ✅ Loaded 150 semantic centroids.
[AdaptiveLightGCN] 🔗 Успешно смапплено 5002 фильмов с кластерами.

[DynamicLeakyLog] 🌉 Применено Динамическое Дырявое Затухание!
   - Динамический порог (85%): 115.0 оценок
   - Min Weight (Floor): 0.05 (сохраняем мост для 715 хитов)
   - Tail (<=5 оценок): 2385 фильмов (вес тяготеет к 1.0)
   [Epoch 0] batch 50/172 | Loss: 0.6929 (BPR: 0.6752, Sem: 0.0177)
   [Epoch 0] batch 100/172 | Loss: 0.4677 (BPR: 0.4475, Sem: 0.0203)
   [Epoch 0] batch 150/172 | Loss: 0.2953 (BPR: 0.2748, Sem: 0.0206)
🏁 [Epoch 0] Завершена! Суммарный лосс: 89.6272 (BPR: 86.3630, Sem: 3.2642)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1369), ('recall@50', 0.3125), ('ndcg@10', 0.1011), ('ndcg@50', 0.1489)])
   [Epoch 1] batch 50/172 | Loss: 0.2485 (BPR: 0.2281, Sem: 0.0204)
   [Epoch 1] batch 100/172 | Loss: 0.2409 (BPR: 0.2220, Sem: 0.0189)
   [Epoch 1] batch 150/172 | Loss: 0.2338 (BPR: 0.2142, Sem: 0.0195)
🏁 [Epoch 1] Завершена! Суммарный лосс: 40.6823 (BPR: 37.3212, Sem: 3.3611)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1371), ('recall@50', 0.3123), ('ndcg@10', 0.1017), ('ndcg@50', 0.1492)])
   [Epoch 2] batch 50/172 | Loss: 0.2349 (BPR: 0.2157, Sem: 0.0192)
   [Epoch 2] batch 100/172 | Loss: 0.2436 (BPR: 0.2243, Sem: 0.0193)
   [Epoch 2] batch 150/172 | Loss: 0.2139 (BPR: 0.1939, Sem: 0.0200)
🏁 [Epoch 2] Завершена! Суммарный лосс: 38.4635 (BPR: 35.1252, Sem: 3.3383)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1367), ('recall@50', 0.3121), ('ndcg@10', 0.102), ('ndcg@50', 0.1494)])
   [Epoch 3] batch 50/172 | Loss: 0.2246 (BPR: 0.2047, Sem: 0.0199)
   [Epoch 3] batch 100/172 | Loss: 0.2240 (BPR: 0.2054, Sem: 0.0186)
   [Epoch 3] batch 150/172 | Loss: 0.2021 (BPR: 0.1830, Sem: 0.0191)
🏁 [Epoch 3] Завершена! Суммарный лосс: 37.5639 (BPR: 34.2406, Sem: 3.3232)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1366), ('recall@50', 0.3123), ('ndcg@10', 0.1026), ('ndcg@50', 0.1501)])
   [Epoch 4] batch 50/172 | Loss: 0.2096 (BPR: 0.1910, Sem: 0.0186)
   [Epoch 4] batch 100/172 | Loss: 0.2293 (BPR: 0.2099, Sem: 0.0194)
   [Epoch 4] batch 150/172 | Loss: 0.2172 (BPR: 0.1982, Sem: 0.0190)
🏁 [Epoch 4] Завершена! Суммарный лосс: 37.0151 (BPR: 33.7024, Sem: 3.3127)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1395), ('recall@50', 0.3124), ('ndcg@10', 0.1037), ('ndcg@50', 0.1506)])
