
🚀 Запуск Эксперимента 4: Dynamic Leaky Log Decay...
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:648: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=0, inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:650: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=feat[field].mean(), inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:2136: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_numpy.cpp:209.)
  new_data[k] = torch.LongTensor(value)
C:\research\.venv\Lib\site-packages\recbole\model\general_recommender\lightgcn.py:124: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:656.)
  SparseL = torch.sparse.FloatTensor(i, data, torch.Size(L.shape))
[AdaptiveLightGCN] ✅ Loaded 150 semantic centroids.
[AdaptiveLightGCN] 🔗 Успешно смапплено 5002 фильмов с кластерами.

[DynamicLeakyLog] 🌉 Применено Динамическое Дырявое Затухание!
   - Динамический порог (85%): 115.0 оценок
   - Min Weight (Floor): 0.05 (сохраняем мост для 715 хитов)
   - Tail (<=5 оценок): 2385 фильмов (вес тяготеет к 1.0)
   [Epoch 0] batch 50/172 | Loss: 0.6578 (BPR: 0.6390, Sem: 0.0188)
   [Epoch 0] batch 100/172 | Loss: 0.4256 (BPR: 0.4052, Sem: 0.0204)
   [Epoch 0] batch 150/172 | Loss: 0.2900 (BPR: 0.2696, Sem: 0.0205)
🏁 [Epoch 0] Завершена! Суммарный лосс: 85.4859 (BPR: 82.1497, Sem: 3.3362)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1354), ('recall@50', 0.3121), ('ndcg@10', 0.1009), ('ndcg@50', 0.1488)])
   [Epoch 1] batch 50/172 | Loss: 0.2508 (BPR: 0.2306, Sem: 0.0202)
   [Epoch 1] batch 100/172 | Loss: 0.2431 (BPR: 0.2244, Sem: 0.0187)
   [Epoch 1] batch 150/172 | Loss: 0.2348 (BPR: 0.2156, Sem: 0.0193)
🏁 [Epoch 1] Завершена! Суммарный лосс: 40.9211 (BPR: 37.5952, Sem: 3.3259)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1364), ('recall@50', 0.312), ('ndcg@10', 0.1019), ('ndcg@50', 0.1495)])
   [Epoch 2] batch 50/172 | Loss: 0.2361 (BPR: 0.2172, Sem: 0.0188)
   [Epoch 2] batch 100/172 | Loss: 0.2444 (BPR: 0.2255, Sem: 0.0189)
   [Epoch 2] batch 150/172 | Loss: 0.2151 (BPR: 0.1956, Sem: 0.0196)
🏁 [Epoch 2] Завершена! Суммарный лосс: 38.7096 (BPR: 35.4349, Sem: 3.2747)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1367), ('recall@50', 0.3119), ('ndcg@10', 0.1019), ('ndcg@50', 0.1493)])
   [Epoch 3] batch 50/172 | Loss: 0.2265 (BPR: 0.2070, Sem: 0.0194)
   [Epoch 3] batch 100/172 | Loss: 0.2254 (BPR: 0.2073, Sem: 0.0182)
   [Epoch 3] batch 150/172 | Loss: 0.2036 (BPR: 0.1850, Sem: 0.0186)
🏁 [Epoch 3] Завершена! Суммарный лосс: 37.8346 (BPR: 34.5923, Sem: 3.2424)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1362), ('recall@50', 0.3117), ('ndcg@10', 0.1019), ('ndcg@50', 0.1493)])
   [Epoch 4] batch 50/172 | Loss: 0.2120 (BPR: 0.1938, Sem: 0.0181)
   [Epoch 4] batch 100/172 | Loss: 0.2306 (BPR: 0.2118, Sem: 0.0188)
   [Epoch 4] batch 150/172 | Loss: 0.2199 (BPR: 0.2014, Sem: 0.0185)
